x,y,z,quality
1.696, 2.726, 0.692, 64.0

1.697, 2.737, 0.685, 60.0

1.696, 2.756, 0.677, 63.0

1.689, 2.739, 0.678, 62.0

1.713, 2.84, 0.616, 0.0

1.696, 2.78, 0.659, 49.0

1.683, 2.692, 0.782, 69.0

1.681, 2.686, 0.737, 68.0

1.696, 2.751, 0.691, 61.0

1.724, 2.827, 0.63, 51.0

1.893, 2.558, 0.631, 72.0

1.837, 2.155, 0.994, 89.0

2.186, 1.678, 0.829, 64.0

2.308, 1.497, 0.754, 61.0

2.312, 1.505, 0.799, 63.0

2.341, 1.499, 0.778, 60.0

2.345, 1.48, 0.802, 63.0

2.359, 1.485, 0.796, 63.0

2.43, 1.694, 0.795, 60.0

2.408, 1.879, 0.456, 61.0

2.223, 1.9, 0.449, 52.0

2.212, 1.96, 0.682, 66.0

1.975, 2.048, 0.881, 77.0

1.907, 2.164, 0.819, 77.0

1.881, 2.333, 0.719, 63.0

1.892, 2.251, 0.842, 65.0

1.784, 2.368, 0.87, 77.0

1.673, 2.523, 0.89, 79.0

1.72, 2.546, 0.856, 73.0
